"2" Num	ac-sign
"20" Num	ac-sign
"A" N	unit
"AC-fuldmægtig" N	Hprof
"AEPS" N	sem-c
"AIS" N	sem-r
"ATV" N	Vground
"Afrika" Sem/Geo iProp MIU Der/nn N	Hnat
"Afrika" Sem/Geo iProp MIU Der/nn PAK Der/nn LUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/IV TIP Der/vv Gram/TV HTR Der/vv Gram/IV NIQ Der/vn N	activity
"Afrika" Sem/Geo iProp MIU Der/nn PAK Der/nn LUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/IV TIP Der/vv Gram/TV HTR Der/vv Gram/IV V	convert
"Afrika" Sem/Geo iProp MIU Der/nn PAK Der/nn LUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/IV TIP Der/vv Gram/TV V	convert
"Afrika" Sem/Geo iProp MIU Der/nn PAK Der/nn LUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/TV TIP Der/vv Gram/TV V	convert
"Afrika" Sem/Geo iProp MIU Der/nn PAK Der/nn LUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/TV TIP Der/vv HTR Der/vv Gram/IV NIQ Der/vn N	activity
"Afrika" Sem/Geo iProp MIU Der/nn PAK Der/nn LUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/TV TIP Der/vv HTR Der/vv Gram/IV V	convert
"Afrika" Sem/Geo iProp MIU Der/nn PALUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/IV TIP Der/vv Gram/TV HTR Der/vv Gram/IV NIQ Der/vn N	activity
"Afrika" Sem/Geo iProp MIU Der/nn PALUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/IV TIP Der/vv Gram/TV HTR Der/vv Gram/IV V	convert
"Afrika" Sem/Geo iProp MIU Der/nn PALUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/IV TIP Der/vv Gram/TV V	convert
"Afrika" Sem/Geo iProp MIU Der/nn PALUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/TV TIP Der/vv Gram/TV V	convert
"Afrika" Sem/Geo iProp MIU Der/nn PALUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/TV TIP Der/vv HTR Der/vv Gram/IV NIQ Der/vn N	activity
"Afrika" Sem/Geo iProp MIU Der/nn PALUP Der/nv Gram/IV TUQ Der/vn NNGUR Der/nv Gram/TV TIP Der/vv HTR Der/vv Gram/IV V	convert
"Agenda 21" Sem/Hum Prop	sem-r
"Aguna" Sem/Fem Sem/Hum Prop	Hmyth
"Agut" Sem/Fem Sem/Hum Prop	Hmyth
"Ajuna" Sem/Fem Sem/Hum Prop	Hmyth
"Ajut" Sem/Fem Sem/Hum Prop	Hmyth
"Akilineq" Sem/Geo Prop	Lciv
"Akilineq" Sem/Geo iProp MIU Der/nn N	Hnat
"Amerika Avannarleq" Sem/Geo Prop	L
"Amerika" Sem/Geo iProp MIU Der/nn N	Hnat
"Amerloq" Sem/Geo Prop	L
"Amerloq" Sem/Geo iProp MIU Der/nn N	Hnat
"BTEX" N	ac-sign
"Canada" Sem/Geo iProp MIU Der/nn N	Hnat
"Crimson & Clover" Sem/Hum Prop	sem-l
"Danmark" Sem/Geo Prop	L
"Demokraatit" Sem/Hum Prop	HH
"Det Hvide Hus" Sem/Hum Prop	build
"Diaavulu" Sem/Hum Prop	Hmyth
"Europa" Sem/Geo iProp MIU Der/nn N	Hnat
"FAS" N	sick-m
"Finland" Sem/Geo iProp MIU Der/nn N	Hnat
"Frankrig" Sem/Geo iProp MIU Der/nn N	Hnat
"Guuti" Sem/Hum Prop	Hmyth
"ICC" Sem/Hum Prop	HH
"IP" Gram/IV LIR Der/vv Gram/IV QQAAQ Der/vn NNGIR Der/nv Gram/IV SSUSIQ Der/vn N	am
"IP" Gram/IV LIR Der/vv QQAAR Der/vv Gram/IV V	gain
"IP" Gram/IV LLAR Der/vv Gram/IV NIQ Der/vn N	percep-l
"IP" Gram/IV LLAR Der/vv Gram/IV V	show_emot
"IP" Gram/IV LLUAR Der/vv Gram/IV TUQ Der/vn SSAQ Der/nn U Der/nv Gram/IV NIQ Der/vn N	f-right
"IP" Gram/IV NAAR Der/vv Gram/TV HTR Der/vv Gram/IV NIQ Der/vn N	act
"IP" Gram/IV NAAR Der/vv Gram/TV SAR Der/vv Gram/TV V	create_finish
"IP" Gram/IV NAR Der/vv Gram/IV V	change_body_pos
"IP" Gram/IV NAR Der/vv TAR Der/vv Gram/IV VIK Der/vn N	temp
"IP" Gram/IV NAR Der/vv TIP Der/vv Gram/TV V	put
"IP" Gram/IV NGA Der/vv Gram/IV TAR Der/vv Gram/IV UTE Der/vn SI Der/nv Gram/IV NAVIIRSAAR Der/vv Gram/IV NIQ Der/vn N	am
"IP" Gram/IV NGA Der/vv Gram/IV TAR Der/vv Gram/IV UTE Der/vn SI Der/nv Gram/IV NIQ Der/vn N	ism
"IP" Gram/IV NIQ Der/vn N	cc-fire
"IP" Gram/IV NIQ Der/vn SUAQ Der/nn U Der/nv Gram/IV UTE Der/vn QAR Der/nv Gram/IV NIQ Der/vn N	act
"IP" Gram/IV NIR Der/vv Gram/IV TUQ Der/vn U Der/nv Gram/IV UTE Der/vn QAR Der/nv Gram/IV NIQ Der/vn N	act
"IP" Gram/IV NIR Der/vv Gram/IV TUQ Der/vn UTE Der/nn N	sem
"IP" Gram/IV NIR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV UTE Der/vn N	ac-cat
"IP" Gram/IV QE Der/vv Gram/IV NIQ Der/vn N	f-psych
"IP" Gram/IV QQA Der/vv Gram/IV TUQ Der/vn UTE Der/nn N	f-psych
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn U Der/nv Gram/IV TIP Der/vv Gram/TV VIK Der/vn SSAQ Der/nn N	temp
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn U Der/nv Gram/IV UTE Der/vn GE Der/nv Gram/TV TAQ Der/vn N	ac
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn U Der/nv Gram/IV UTE Der/vn GE Der/nv Gram/TV V	judge
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn U Der/nv Gram/IV UTE Der/vn N	ac
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV NIQ Der/vn N	occ
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV QATE Der/vn U Der/nv Gram/IV TAR Der/vv Gram/IV TUQ Der/vn N	Hprof
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV QATE Der/vn U Der/nv Gram/IV TUQ Der/vn N	Hprof
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV RIAR Der/vv Gram/IV USIQ Der/vn N	process
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV SAR Der/vv Gram/TV NIQ Der/vn N	act
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV SAR Der/vv Gram/TV NIQ Der/vn N	system
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV SINNAA Der/vv Gram/IV NIQ Der/vn N	Lh
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV SINNAA Der/vv Gram/IV VIK Der/vn N	Lh
"IP" Gram/IV QQAR Der/vv Gram/IV TUQ Der/vn UTE Der/nn SI Der/nv Gram/IV SSUSIQ Der/vn GE Der/nv Gram/TV Gram/IV TUQ Der/vn N	Hprof
